threshold,accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives,business_cost
0.1,0.6502159161011721,0.37448316597755466,0.8942172073342737,0.5278934221482098,2948,2118,150,1268,2868
0.11,0.6818322023442319,0.39739102768055995,0.8808180535966149,0.547686910765183,3172,1894,169,1249,2739
0.12,0.715916101172116,0.4260293091416609,0.8610719322990127,0.5700280112044818,3421,1645,197,1221,2630
0.13,0.7362739049969155,0.44580549368968075,0.8469675599435825,0.5841439688715954,3573,1493,217,1201,2578
0.14,0.756631708821715,0.4682791435368755,0.8328631875881524,0.5994923857868021,3725,1341,237,1181,2526
0.15,0.7689697717458359,0.48330550918196996,0.8166431593794076,0.6072364971158888,3828,1238,260,1158,2538
0.16,0.7799198025909932,0.49803579223046707,0.8046544428772919,0.6152601779455379,3916,1150,277,1141,2535
0.17,0.7905613818630475,0.513648771610555,0.7961918194640338,0.6244469026548672,3997,1069,289,1129,2514
0.18,0.7991980259099322,0.5274621212121212,0.7856135401974612,0.6311614730878187,4068,998,304,1114,2518
0.19,0.8081431215299199,0.5429841897233202,0.7750352609308886,0.6385822196397444,4141,925,319,1099,2520
0.2,0.8209438618136953,0.5669619593538301,0.767277856135402,0.6520827090200779,4235,831,330,1088,2481
0.21,0.8277297964219618,0.5817490494296578,0.7552891396332864,0.657256827247622,4296,770,347,1071,2505
0.22,0.8351326341764344,0.5993170176437109,0.7425952045133991,0.6633070866141733,4362,704,365,1053,2529
0.23,0.837137569401604,0.6073546856465006,0.7221438645980254,0.6597938144329897,4404,662,394,1024,2632
0.24,0.8425354719309068,0.6212583995113011,0.7172073342736248,0.6657937806873977,4446,620,401,1017,2625
0.25,0.8490129549660703,0.6406149903907752,0.7052186177715092,0.671366230278617,4505,561,418,1000,2651
0.26,0.8553362122146823,0.6602136181575434,0.6974612129760226,0.678326474622771,4557,509,429,989,2654
0.27,0.8588834053053671,0.6757512229210343,0.6819464033850494,0.6788346788346789,4602,464,451,967,2719
0.28,0.8618136952498457,0.6858974358974359,0.6791255289139634,0.6824946846208363,4625,441,455,963,2716
0.29,0.863664404688464,0.6957478005865103,0.6692524682651622,0.6822429906542056,4651,415,469,949,2760
0.3,0.865515114127082,0.7043413173652695,0.6636107193229901,0.6833696441539578,4671,395,477,941,2780
0.31,0.8682911782850092,0.7159264931087289,0.659379407616361,0.6864904552129222,4695,371,483,935,2786
0.32,0.8687538556446638,0.7202797202797203,0.653737658674189,0.6853974121996304,4706,360,491,927,2815
0.33,0.871838371375694,0.7342378292098962,0.6488011283497884,0.6888805690752527,4733,333,498,920,2823
0.34,0.8738433066008636,0.7439024390243902,0.6452750352609309,0.6910876132930514,4751,315,503,915,2830
0.35,0.8743059839605182,0.7518796992481203,0.6346967559943583,0.6883365200764818,4769,297,518,900,2887
0.36,0.8746144355336212,0.7574468085106383,0.6276445698166432,0.6864635557269572,4781,285,528,890,2925
0.37,0.8767735965453424,0.7675021607605877,0.6262341325811002,0.6897087378640777,4797,269,530,888,2919
0.38,0.8797038864898211,0.7818021201413428,0.6241184767277856,0.6941176470588235,4819,247,533,885,2912
0.39,0.8814003701418878,0.7926059513074842,0.6198871650211566,0.6956865848832607,4836,230,539,879,2925
0.4,0.8821714990746453,0.8027777777777778,0.6114245416078985,0.6941553242594075,4853,213,551,867,2968
0.41,0.8835595311536089,0.814218009478673,0.6057827926657263,0.6947027901334412,4870,196,559,859,2991
0.42,0.8857186921653301,0.8302439024390244,0.6001410437235543,0.6966844044207942,4892,174,567,851,3009
0.43,0.884793337446021,0.8331678252234359,0.5916784203102962,0.691958762886598,4898,168,579,839,3063
0.44,0.885101789019124,0.8395560040363269,0.5867418899858956,0.6907430469074305,4907,159,586,832,3089
0.45,0.8854102405922271,0.8475798146240988,0.580394922425952,0.6889912097111762,4918,148,595,823,3123
